"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
San Juan (patronal),Junio,27-29,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.54662222,,,
Santa Ana (patronal),Agosto,30,Ayacucho,Huamanga,Huarnanga,-13.16305556,-74.62716667,,,
Santa Maria Magdalena (Patronal),Agosto,23,Ayacucho,Huamanga,Huarnanga,-13.16305556,-74.70771111,,,
Santa Rosa (Patronal),Agosto,30,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.78825556,,,
Santa Teresa (Patronal),Octubre,15,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.8688,,,
Semana Santa (Tradicional),Marzo/Abril,*,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.94934444,,,
Todos los Santos (Tradicional),Noviembre,1-2,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.02988889,,,
Virgen de Cocharcas (Patronal),Setiembre,8,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.11043333,,,
Virgen de Fatima (Patronal),Mayo,13,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.19097778,,,
Virgen de la Calendaria (Patronal),Mayo,2,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.27152222,,,
Virgen de la Calendaria (Patronal),Febrero,2-6,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.35206667,,,
Virgen del Carmen (Patronal),Julio,16,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.43261111,,,
Virgen del Patrocinio (Patrona1),Noviembre,12,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.51315556,,,
Virgen del Pilar de Zaragoza (Patrorud),Noviembre,1-4,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.5937,,,
Virgen del Rosario (Patronal),Octubre,15,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.67424444,,,
Sefior de Quinuapata (Patronal),Setiembre,14,Ayacucho,Huamanga,Huamanga,-13.16305556,-75.75478889,,,
San Juan Bautista (Patronal),Junio,24,Ayacucho,Huamanga,San Juan Bautista,-13.165886,-74.223632,,,
San Lorenzo (patronal),Agosto,10,Ayacucho,Huamanga,San Juan Bautista,-13.165886,-74.223632,,,
Sedor de los Milagros (Tradicional),Octubre,17-24,Ayacucho,Huanta,Huanta,-12.93972222,-74.2475,,,
San Francisco (patronal),Octubre,4-8,Ayacucho,Huanta,Huanta,-12.93972222,-74.2475,,,
Sefior de Maynay (Patronal),Setiembre,17-20,Ayacucho,Huanta,Huanta,-12.93972222,-74.2475,,,
Las Cruces (Tradicional),Mayo,3,Ayacucho,Huanta,Luricocha,-12.8986865,-74.2794389,,,
San Francisco (Patronal),Octubre,04-08,Ayacucho,La Mar,-,-13.012605555556,-73.980963888889,,,
San Miguel (Patronal),Setiembre,25-30,Ayacucho,La Mar,-,-13.012605555556,-73.980963888889,,,
San Miguel (Patronal) ,Setiembre,25-30,Ayacucho,La Mar,San Miguel,-13.013638,-73.980659,,,
Yacu Raymi (Tradicional),Agosto,20-26,Ayacucho,Lucanas,-,-14.693888888889,-74.12388889,,,
Virgen de las Nieves (Patronal),Agosto,02-10,Ayacucho,Parinacochas,Coracora,-15.01699444,-73.78041944,,,
Virgen de las Nieves (Patronal),Agosto,02-10,Ayacucho,Parinacochas,-,-15.016994444444,-73.78041944,,,
Vilcas Raymi II (Tradicional),Julio,27-28,Ayacucho,Vilcashuaman,-,-13.65311,-73.95396,,,
Mamacha Asunta (Patronal),Agosto,15,Ayacucho,Vilcashuaman,Vilcashuaman,-13.65311,-73.95396,,,
